State,Commodity,price,types
ALABAMA,"CORN, GRAIN",142.5,GENERAL
ALABAMA,"COTTON, COTTONSEED",120.0,GENERAL
ALABAMA,"COTTON, UPLAND",1206.0,GENERAL
ALABAMA,HAY,87.0,GENERAL
ALABAMA,"HAY, (EXCL ALFALFA)",87.0,GENERAL
ALABAMA,PEANUTS,388.0,GENERAL
ALABAMA,SOYBEANS,325.0,GENERAL
ALABAMA,WHEAT,180.35714285714286,GENERAL
ALABAMA,"WHEAT, WINTER",180.35714285714286,GENERAL
ALASKA,BARLEY,185.71428571428572,GENERAL
ALASKA,HAY,350.0,GENERAL
ALASKA,"HAY, (EXCL ALFALFA)",350.0,GENERAL
ARIZONA,BARLEY,148.21428571428572,GENERAL
ARIZONA,BROCCOLI,1440.0,"FRESH MARKET, GENERAL"
ARIZONA,CAULIFLOWER,1488.0,GENERAL
ARIZONA,"CORN, GRAIN",192.85714285714286,GENERAL
ARIZONA,"COTTON, COTTONSEED",254.0,GENERAL
ARIZONA,"COTTON, UPLAND",1141.9999999999998,GENERAL
ARIZONA,DATES,6580.0,GENERAL
ARIZONA,HAY,204.0,GENERAL
ARIZONA,"HAY, (EXCL ALFALFA)",200.0,GENERAL
ARIZONA,"HAY, ALFALFA",205.0,GENERAL
ARIZONA,LEMONS,1500.0,GENERAL
ARIZONA,"LETTUCE, HEAD",857.9999999999999,"FRESH MARKET, GENERAL"
ARIZONA,"LETTUCE, LEAF",2058.0,"FRESH MARKET, GENERAL"
ARIZONA,"LETTUCE, ROMAINE",885.9999999999999,"FRESH MARKET, GENERAL"
ARIZONA,"MELONS, CANTALOUP",544.0,"FRESH MARKET, GENERAL"
ARIZONA,"MELONS, WATERMELON",273.99999999999994,"FRESH MARKET, GENERAL"
ARIZONA,PECANS,3779.9999999999995,GENERAL
ARIZONA,WHEAT,236.07142857142858,GENERAL
ARIZONA,"WHEAT, SPRING, DURUM",236.07142857142858,GENERAL
ARKANSAS,"CORN, GRAIN",137.85714285714286,GENERAL
ARKANSAS,"COTTON, COTTONSEED",174.0,GENERAL
ARKANSAS,"COTTON, UPLAND",1224.0,GENERAL
ARKANSAS,HAY,108.0,GENERAL
ARKANSAS,"HAY, (EXCL ALFALFA)",108.0,GENERAL
ARKANSAS,"HAY, ALFALFA",192.0,GENERAL
ARKANSAS,OATS,99.99999999999999,GENERAL
ARKANSAS,PEANUTS,396.0,GENERAL
ARKANSAS,RICE,238.0,GENERAL
ARKANSAS,SOYBEANS,316.7857142857143,GENERAL
ARKANSAS,WHEAT,182.85714285714286,GENERAL
