State,ALMONDS,APPLES,APRICOTS,ARTICHOKES,ASPARAGUS,AVOCADOS,BARLEY,"BARLEY, FEED","BARLEY, MALTING","BEANS, DRY EDIBLE, INCL CHICKPEAS","BEANS, SNAP","BLUEBERRIES, TAME","BLUEBERRIES, WILD",BROCCOLI,CABBAGE,CANOLA,CARROTS,CAULIFLOWER,CELERY,"CHERRIES, SWEET","CHERRIES, TART",CHICKPEAS,"CHICKPEAS, LARGE","CHICKPEAS, SMALL",COFFEE,"CORN, GRAIN","COTTON, COTTONSEED","COTTON, PIMA","COTTON, UPLAND",CRANBERRIES,CUCUMBERS,DATES,FLAXSEED,GARLIC,GRAPEFRUIT,"GRAPEFRUIT, RED SEEDLESS","GRAPEFRUIT, WHITE SEEDLESS",GRAPES,"GRAPES, JUICE TYPE","GRAPES, RAISIN TYPE","GRAPES, TABLE TYPE","GRAPES, WINE TYPE",HAY,"HAY, (EXCL ALFALFA)","HAY, ALFALFA",HAZELNUTS,HOPS,KIWIFRUIT,LEMONS,LENTILS,"LETTUCE, HEAD","LETTUCE, LEAF","LETTUCE, ROMAINE",MACADAMIAS,"MELONS, CANTALOUP","MELONS, HONEYDEW","MELONS, WATERMELON","MILLET, PROSO","MINT, PEPPERMINT, OIL","MINT, SPEARMINT, OIL",NECTARINES,OATS,OLIVES,"OLIVES, , CANNED","OLIVES, , CRUSHED","OLIVES, , LIMITED","ONIONS, DRY",ORANGES,"ORANGES, MID & NAVEL","ORANGES, VALENCIA",PAPAYAS,PEACHES,"PEACHES, CLINGSTONE","PEACHES, FREESTONE",PEANUTS,PEARS,"PEAS, DRY EDIBLE","PEAS, GREEN",PECANS,"PECANS, NATIVE & SEEDLING","PEPPERS, BELL","PEPPERS, CHILE",PISTACHIOS,PLUMS,POTATOES,PRUNES,PUMPKINS,RASPBERRIES,RICE,"RICE, MEDIUM",RYE,SAFFLOWER,"SORGHUM, GRAIN",SOYBEANS,SPINACH,SQUASH,STRAWBERRIES,SUGARBEETS,"SUGARCANE, SUGAR",SUNFLOWER,"SUNFLOWER, NON","SUNFLOWER, OIL TYPE",SWEET CORN,SWEET POTATOES,TANGERINES,TOBACCO,"TOBACCO, AIR","TOBACCO, CIGAR FILLER PA SEED LEAF (TYPE 41)","TOBACCO, FIRE","TOBACCO, FLUE",TOMATOES,"WALNUTS, ENGLISH",WHEAT,"WHEAT, SPRING, (EXCL DURUM)","WHEAT, SPRING, DURUM","WHEAT, WINTER"
ALABAMA,,,,,,,,,,,,,,,,,,,,,,,,,,142.5,120.0,,1206.0,,,,,,,,,,,,,,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,180.35714285714286,,,180.35714285714286
ALASKA,,,,,,,185.71428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIZONA,,,,,,,148.21428571428572,,,,,,,1440.0,,,,1488.0,,,,,,,,192.85714285714286,254.0,,1141.9999999999998,,,6580.0,,,,,,,,,,,204.0,200.0,205.0,,,,1500.0,,857.9999999999999,2058.0,885.9999999999999,,544.0,,273.99999999999994,,,,,,,,,,,,,,,,,,,,,,3779.9999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.07142857142858,,236.07142857142858,
ARKANSAS,,,,,,,,,,,,,,,,,,,,,,,,,,137.85714285714286,174.0,,1224.0,,,,,,,,,,,,,,108.0,108.0,192.0,,,,,,,,,,,,,,,,,99.99999999999999,,,,,,,,,,,,,396.0,,,,,,,,,,,,,,238.0,,,,,316.7857142857143,,,,,,,,,,,,,,,,,,,182.85714285714286,,,182.85714285714286
CALIFORNIA,4900.0,532.3333333333334,923.0,1560.0,4040.0,3440.0,164.64285714285714,165.0,,1192.0,1340.0,4466.666666666667,,829.3333333333334,630.0,,554.0,1100.0,604.0,2633.3333333333335,,,,,,164.28571428571428,301.0,,,,641.6666666666666,2860.0,,1852.6666666666667,703.8235294117646,,,926.6666666666666,,569.3333333333334,821.3333333333334,972.0,192.0,150.0,204.0,,,1820.0,1362.6315789473683,,604.0,820.0,550.0,,383.99999999999994,426.0,412.0,,,,980.0,,788.0,1040.0,698.0,720.0,313.6666666666667,629.7368421052631,671.3157894736842,457.8947368421053,,720.6666666666666,470.0,768.3333333333334,,379.3333333333333,,,,,925.0,717.9999999999999,5620.0,941.6666666666666,330.0,1400.0,382.0,5380.0,436.0,432.0,,430.0,,,1059.3333333333333,802.0,2200.0,48.6,,540.0,483.99999999999994,542.0,570.0,414.0,1908.3999999999996,,,,,,348.0,1890.0,212.5,,231.78571428571428,206.42857142857144
COLORADO,,,,,,,173.92857142857142,119.64285714285714,175.35714285714286,727.9999999999999,,,,,,,,,,,,,,,,131.42857142857144,,,,,,,,,,,,,,,,,231.0,228.0,231.0,,,,,,,,,,,,,202.5,,,,,,,,,333.99999999999994,,,,,2300.0,,,,,,,,,,,,,262.0,,,,,,,,99.0,,,,,16.9,,377.99999999999994,416.0,366.0,,,,,,,,,,,143.2142857142857,,,143.2142857142857
CONNECTICUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,173.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,,,,,,,119.64285714285714,,,,,,,,,,,,,,,,,,,153.57142857142856,,,,,,,,,,,,,,,,,160.0,145.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.2142857142857,,,,,,,,,,,,,,,,,,,176.78571428571428,,,176.78571428571428
FLORIDA,,,,,,928.0,,,,,784.0,5280.0,,,400.0,,,,,,,,,,,156.78571428571428,120.0,,1178.0,,482.0,,,,984.5714285714286,970.9285714285714,1091.142857142857,,,,,,151.0,151.0,,,,,,,,,,,386.0,,360.0,,,,,,,,,,,759.6677740863787,731.3621262458472,771.8936877076412,,,,,402.0,,,,,,1301.9999999999998,,,,426.0,,,,,,,,,,,875.9999999999999,3040.0,,36.7,,,,600.0,,1046.5116279069766,,,,,,1102.0,,,,,
GEORGIA,,,,,,,,,,,1058.0,2513.3333333333335,,,326.0,,,,,,,,,,,161.78571428571428,115.0,,1226.0,,420.0,,,,,,,,,,,,84.0,84.0,,,,,,,,,,,352.0,,250.0,,,,,146.42857142857142,,,,,970.0,,,,,1120.0,,,390.0,,,,3759.9999999999995,,840.0,,,,,,,,,,,,,319.6428571428571,,855.9999999999999,,,,,,,492.0,,,3860.0,,,,3860.0,,,175.0,,,175.0
